# from https://api.keyman.com/search/2.0/
# accessed 2026-03-23
ID	Name	Lang codes	Input Script ISO	Output Script ISO	Downloads	Total Downloads	Platform Support
keyman_basic_kbdno	Norwegian Basic	nb	Latn	Latn	39	1141	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdno1	Norwegian with Sami Basic	se	Latn	Latn	30	938	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdnso	Setswana Basic	tn	Latn	Latn	11	425	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdntl	New Tai Lue Basic	khb	Talu	Talu	23	994	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdogham	Ogham Basic	pgl	Ogam	Ogam	23	1264	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdolch	Ol Chiki Basic	sat	Olck	Olck	39	1351	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdoldit	Old Italic Basic	ett,osc,pgn,umc,xhr,xum,xve	Latn	Latn	45	1428	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdosa	Osage Basic	osa	Osge	Osge	24	1347	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdosm	Osmanya Basic	so	Latn	Latn	85	4905	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdpash	Pashto (Afghanistan) Basic	ps	Arab	Arab	163	9195	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdphags	Phags-pa Basic	zh,khk,mvf,bo	Mong	Mong	44	2019	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdpl	Polish (214) Basic	pl	Latn	Latn	34	2514	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdpl1	Polish (Programmers) Basic	pl	Latn	Latn	54	1321	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdpo	Portuguese Basic	pt	Latn	Latn	36	1280	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdropr	Romanian (Programmers) Basic	ro	Latn	Latn	32	1590	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdrost	Romanian (Standard) Basic	ro	Latn	Latn	36	2069	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdru	Russian Basic	ru	Cyrl	Cyrl	224	8926	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdru1	Russian (Typewriter) Basic	ru	Cyrl	Cyrl	29	1750	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdrum	Russian - Mnemonic Basic	ru	Cyrl	Cyrl	53	5032	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdsf	Swiss French Basic	fr,fr,lb	Latn	Latn	41	1450	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdsg	Swiss German Basic	de	Latn	Latn	16	1061	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdsl	Slovak Basic	sk	Latn	Latn	16	730	windows,macos,linux,desktopWeb,ios,android,mobileWeb
