# Source: https://ldml.api.sil.org/langtags.json (SIL langtags dataset, public domain)
# Docs: https://github.com/silnrsi/langtags/blob/master/doc/langtags.md
iso639_3	iso639_3extra	names
ame		Amagues;Amagé;Amajé;Amajó;Amoishe;Amueixa;Amuese;Amuesha;Amueshua;Amuetamo;Lorenzo;Omagé;Yanesha';Yaneshac̈h;Yanešač̣
amf		
amf		
amg		Amarag;Amarak;Amardak;Amurag;Amurdag;Amurrag;Amurrak;Amurtak;Amuruk;A’moordiyu;Mamurug;Monobar;Namurug;Nga:mr:rak;Nga:mu:rak;Ngamurag;Umoreo;Umoriu;Umorrdak;Wardadjbak;Woraidbug;Wureidbug
ami	ais	Ami;Amia;Bakurut;Lam-Si-Hoan;Maran;Pagcah;Pangcah;Pangtsah;Sabari;Tanah
amj		Andang;Andangti;Biltine;Mima;Mime;Mimi;Mututu;Simi Amdangtii
amj		Andang;Andangti;Biltine;Mima;Mime;Mimi;Mututu;Simi Amdangtii
amk		Ambai-Menawi
aml		Amwi;Jaintia;Khasi;War;War-Khasi
aml		Amwi;Jaintia;Khasi;War;War-Khasi
amm		Ama;Ama (Papua New Guinea);Sawiyano
amn		Awai
amo		Amap;Amon;Among;Ba;Timap
amp		Arambak
amq		Amahei
amr		Amaracaire;Amarakaire;Arakmbut;Arakmbut Háte;Aratbuten huaʼa;Harakmbut;Haté;Kareneri;Kochimberi;Küpondirideri;Wakitaneri;Wintaperi
ams		Southern Amami-Oshima;Southern Amami-Osima
amt		Ki
amu		Amuzgo;Amuzgo de Guerrero;Guerrero Amuzgo;Jñom’ndaa;Nomndaa;Xochistlahuaca Amuzgo;Ñomndaa;Ñomndaa Suljaaꞌ;Ñonda
amv		Amblau
amw		Loghtha Siryanooytha;Neo-Western Aramaic;Siryoon
amw		Loghtha Siryanooytha;Neo-Western Aramaic;Siryoon
amw		Loghtha Siryanooytha;Neo-Western Aramaic;Siryoon
amw		Loghtha Siryanooytha;Neo-Western Aramaic;Siryoon
amw		Loghtha Siryanooytha;Neo-Western Aramaic;Siryoon
amx		Anmatjirra;Anmatyerre
amy		Ame;Amijangal;Emmi;Maranunggu
amz		Atambaya
arg		Altoaragonés;Aragoieraz;Aragonais;Aragonès;Fabla;Fabla Aragonesa;High Aragonese;Navarroaragonés;aragonés
ana		Aguanunga;Andaki;Andaquí;Churuba
anb		Andoa-Shimigae;Gae;Gaye;Semigae;Shimigae;Simikai
anc		Angas;Karang;Kerang
and		
ane		Anesu;Canala;Haraneu;Kanala;Naa Xaracuu;Xaracii
anf		Anyimere;Kunda
ang		
ang		
anh		Angaua;Nent
ani		Andii;Andiy;Khivannal;Qandisel;Qwannab
anj		
ank		Ankwai;Ankwe;Ankwei;Gamai;Ga̱mai;Kemai
anl		Anu-Hkongso Chin;Khong;No
anm		Anal Naga;Anāl;Namfau;Pakan;Pakan Naga
ann		Andone;Andoni;Andonni
ano		Andoke;Businka;Cha’oie;Cho’oje;Paasi-ahá;Paasiaja;Paatsiaja;Patsiaehé;Poosioho
anp		Anga;Angikar;Chhika-Chhiki
anq		Jarawa (India)
anq		Jarawa (India)
anr		Andha;Andhi
ans		Ancerma;Anserna;Caramanta;Cartama;Humbra;Umbra
ant		Andagarinya;Antakarinya;Antakirinya
anu		Dha Anyuaa;Dha Anywak;Dho Anywaa;dho-Anywaa
anu		Anyuak;Anywa;Anywaa;Anywak;Dha Anyuaa;Dha Anywaa;Dha Anywak;Dho Anywaa;Jambo;Nuro;dho-Anywaa
anu		Anyuak;Anywa;Anywaa;Anywak;Dha Anyuaa;Dha Anywaa;Dha Anywak;Dho Anywaa;Jambo;Nuro;dho-Anywaa
anv		Agnang;Anyah;Anyan;Anyang;Eyan;Nyang;Obonya;Takamanda
anw		Anaañ;Anang;Annang
anx		Ahus;Ha’us
any		Agni;Agni Sanvi;Agny;Anyi
anz		
aoa		Ngola
aob		
aoc		Arekuna;Pemong;Taulipáng;Taurepáng
aod		
aoe		Angal;Angal Enen Nembi;Nembi;South Angal Heneng;South Mendi
aof		Alauagat;Yauan
aog	myd	Kanda;Olem;Pondo;Tjimundo
aoh		
aoi		Andiljangwa;Andilyaugwa;Aninhdhilyagwa;Enindhilyagwa;Enindiljaugwa;Groote Eylandt;Ingura;Wanindilyaugwa
aoj		Muhian;Muhiang;Southern Arapesh
aoj		Mufian - Balif;Muhian;Muhiang;Southern Arapesh
aoj		Mufian - Filifita;Muhian;Muhiang;Southern Arapesh
aok		Aro
aol		Alorese
aom		Aomie;Upper Managalasi
aon		Bambita Arapesh;Bumbita Arapesh;But Arapesh
aor		
aos		Abrab;Abrap;Arso;Tajkat
aot		A'tong;Atong (India);Attong;A’tong
aot		A'tong;Atong (India);Attong;A’tong
aou		A'ou;Auo;Awou
aox		Atorad;Atorai;Ator’ti;Dauri
aoz		Atoni;Meto;Orang Gunung;Timol;Timor;Timoreesch;Timoreezen;Timorese;Uab Atoni Pah Meto;Uab Pah Meto
apb		Apaeꞌaa;Sa'a;Saa;South Malaita
apc		Lebanese;Lebanese-Syrian Arabic;Levantine Arabic;Libano-mexicano;Palestinian Arabic;Palestinian-Jordanian;Palestinian-Jordanian Arabic;Syro-Lebanese Arabic;Syro-Palestinian Arabic;il-lahje š-šāmiyye
apc	ajp	Lebanese-Syrian Arabic;Levantine Arabic;Palestinian Arabic;Palestinian-Jordanian;Palestinian-Jordanian Arabic;Syro-Lebanese Arabic;Syro-Palestinian Arabic;il-lahje š-šāmiyye
apd		Arabi;Dārijīya;Khartoum Arabic;Sudanese Arabic;Sudanese Spoken Arabic
apd		Arabi;Dārijīya;Khartoum Arabic;Sudanese Arabic;Sudanese Spoken Arabic
ape		Bukiyúp;Mountain Arapesh
ape		Bukiyip - Coastal Arapesh;Bukiyúp;Mountain Arapesh
ape		Bukiyip - Mountain Arapesh;Bukiyúp;Mountain Arapesh
apf		Pahanan;Pahanan Agta;Palanan Agta
apg		
aph		Arthare;Athaphre;Athapre;Athpahariya;Athpare;Athpre;Sanango Ring
api		Apiacá;Apiake
apj		Abáachi mizaa;Hikariya;Hoyero;Jicarilla Abáachi;Jicarilla Apache;Ollero
apk		Kiowa Apache;Na’isha;Plains Apache
apl		Lipan;Lipan Apache;Ndé miizaa
apm		Mescalero-Chiricahua Apache;Ndé;Ndé bizaa;N’dee;N’nee
apn		Afotigé;Aogé;Apinaié;Apinajé;Apinayé;Otogé;Oupinagee;Panhĩ kapẽr;Pinagé;Pinaré;Timbira Ocidentais;Uhitische;Utinsche;Western Timbira
apo		Apalik;Palik
app		Abma;Central Pentecost;Central Raga;Daleda;Dalekte
apq		Aka-pujjukar;Puchikwar;Pucikwar
apr		Arop-Lukep;Moromiranga;Siasi;Siassi;Tolokiwa
aps		Arop;Arop-Sissano
apt		Apa
apu		Ipurinã;Ipurinãn;Kangite;Popengare
apv		Alapmonde;Yalapmunde;Yalapmunte;Yalapmunxte;Yala’mun’du
apw		Coyotero;Ndee biyáti’;Nnee biyáti’;Nḏēē biyáti’;Nṉēē biyáti’;Western Apache
apx		Ilputih;Opotai;Tutunohan
apy		Apalay;Aparaí;Arakwayu
apz		Ambari;Ampale;Ampeeli;Ampeeli-Wojokeso;Ampele
aqc		Archib;Archin;Archintsy;Archsel;Arshashdib
aqd		Ambeenge;Ampari;Ampari Dogon;Pignari
aqg		North Akoko
aqk		Kurmi;Ninka;Nka;Sanga
aqm		Kaugat
aqn		Alta;Baler Negrito;Ditaylin Alta;Ditaylin Dumagat;Edimala;Northern Alta
